2025-09-24 13:37:59,010 INFO: Annotating btree1.ll...
2025-09-24 13:37:59,011 INFO: Building function map...
	'False' ⊑ 'False'


2025-09-24 13:55:06,235 DEBUG: Function Map:
{ 'license_notice': LLVMFunction(name='license_notice', start=1, end=5, meta={'ret': False, 'pc': False, '%entry': False}, blocks=[LLVMBlock('%entry')], body=['define dso_local void @license_notice() #0 !sec !{!"void", !"public", !{}} {\n', '  %1 = call i32 (ptr, ...) @printf(ptr noundef @.str, ptr noundef @.str.1)\n', '  %2 = call i32 (ptr, ...) @printf(ptr noundef @.str.2)\n', '  ret void\n', '}\n'], is_poly=False, history={'ret': [], 'pc': [], '%entry': [False, False]}),
  'printf': LLVMFunction(name='printf', start=7, end=7, meta={'ret': False, 'pc': False, '%param0': False, '...': False}, blocks=[LLVMBlock('%entry')], body=['declare !sec !{!"public", !"public", !{!"public", !"..."}} i32 @printf(ptr noundef, ...) #1\n'], is_poly=False, history={'ret': [], 'pc': [], '%param0': [], '...': []}),
  'usage_1': LLVMFunction(name='usage_1', start=9, end=16, meta={'ret': False, 'pc': False, '%entry': False}, blocks=[LLVMBlock('%entry')], body=['define dso_local void @usage_1() #0 !sec !{!"void", !"public", !{}} {\n', '  %1 = load i64, ptr @order, align 8\n', '  %2 = call i32 (ptr, ...) @printf(ptr noundef @.str.3, i64 noundef %1)\n', '  %3 = call i32 (ptr, ...) @printf(ptr noundef @.str.4)\n', '  %4 = call i32 (ptr, ...) @printf(ptr noundef @.str.5, i32 noundef 3, i32 noundef 20)\n', '  %5 = call i32 (ptr, ...) @printf(ptr noundef @.str.6)\n', '  ret void\n', '}\n'], is_poly=False, history={'ret': [], 'pc': [], '%entry': [False, False]}),
  'usage_2': LLVMFunction(name='usage_2', start=19, end=22, meta={'ret': False, 'pc': False, '%entry': False}, blocks=[LLVMBlock('%entry')], body=['define dso_local void @usage_2() #0 !sec !{!"void", !"public", !{}} {\n', '  %1 = call i32 (ptr, ...) @printf(ptr noundef @.str.7)\n', '  ret void\n', '}\n'], is_poly=False, history={'ret': [], 'pc': [], '%entry': [False, False]}),
  'usage_3': LLVMFunction(name='usage_3', start=25, end=29, meta={'ret': False, 'pc': False, '%entry': False}, blocks=[LLVMBlock('%entry')], body=['define dso_local void @usage_3() #0 !sec !{!"void", !"public", !{}} {\n', '  %1 = call i32 (ptr, ...) @printf(ptr noundef @.str.8)\n', '  %2 = call i32 (ptr, ...) @printf(ptr noundef @.str.9, i32 noundef 3, i32 noundef 20)\n', '  ret void\n', '}'], is_poly=False, history={'ret': [], 'pc': [], '%entry': [False, False]})}

2025-09-24 13:55:06,235 INFO: Processing license_notice...
2025-09-24 13:55:06,235 DEBUG: Processing define dso_local void @license_notice() #0 !sec !{!"void", !"public", !{}} {
...
2025-09-24 13:55:06,235 DEBUG: {'pc': False, 'ret': False}
2025-09-24 13:55:06,237 DEBUG: Parsing function call on line 1...
	Constraints:
	'pc'(False) ⊑ %1
	1_printf_arg0 ≡ False
	1_printf_arg1 ≡ False
	%1 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[ ('call', False),
  ('tgt_label', %1),
  ('arg0_label', 1_printf_arg0),
  ('arg1_label', 1_printf_arg1)]

2025-09-24 13:55:06,240 DEBUG: Parsing function call on line 2...
	Constraints:
	'pc'(False) ⊑ %2
	2_printf_arg0 ≡ False
	%2 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[('call', False), ('tgt_label', %2), ('arg0_label', 2_printf_arg0)]

2025-09-24 13:55:06,241 DEBUG: Parsing return instruction on line 3...
	Annotations:
	[]

2025-09-24 13:55:06,241 INFO: Solving constraints for license_notice...
tgt_label: %1 -> public
arg0_label: 1_printf_arg0 -> public
arg1_label: 1_printf_arg1 -> public
tgt_label: %2 -> public
arg0_label: 2_printf_arg0 -> public
2025-09-24 13:55:06,242 INFO: Finished processing license_notice!

2025-09-24 13:55:06,242 DEBUG: Updating metadata - <@printf>[%param0]: public
2025-09-24 13:55:06,242 DEBUG: Updating metadata - <@printf>[...]: public
2025-09-24 13:55:06,242 INFO: Processing printf...
2025-09-24 13:55:06,242 DEBUG: Processing declare !sec !{!"public", !"public", !{!"public", !"..."}} i32 @printf(ptr noundef, ...) #1
...
2025-09-24 13:55:06,242 DEBUG: {'%param0': False, '...': False, 'pc': False, 'ret': False}
2025-09-24 13:55:06,243 INFO: Solving constraints for printf...
2025-09-24 13:55:06,243 INFO: Finished processing printf!

2025-09-24 13:55:06,243 INFO: Processing usage_1...
2025-09-24 13:55:06,243 DEBUG: Processing define dso_local void @usage_1() #0 !sec !{!"void", !"public", !{}} {
...
2025-09-24 13:55:06,243 DEBUG: {'pc': False, 'ret': False}
2025-09-24 13:55:06,243 DEBUG: Parsing load instruction on line 1...
	Constraints:
	'pc'(False) ⊑ %1
	@order ⊑ %1

	Annotations:
	[('tgt_label', %1), ('src_label', @order)]

2025-09-24 13:55:06,243 DEBUG: Parsing function call on line 2...
	Constraints:
	'pc'(False) ⊑ %2
	2_printf_arg0 ≡ False
	%1 ≡ False
	%2 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[ ('call', False),
  ('tgt_label', %2),
  ('arg0_label', 2_printf_arg0),
  ('arg1_label', %1)]

2025-09-24 13:55:06,246 DEBUG: Parsing function call on line 3...
	Constraints:
	'pc'(False) ⊑ %3
	3_printf_arg0 ≡ False
	%3 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[('call', False), ('tgt_label', %3), ('arg0_label', 3_printf_arg0)]

2025-09-24 13:55:06,247 DEBUG: Parsing function call on line 4...
	Constraints:
	'pc'(False) ⊑ %4
	4_printf_arg0 ≡ False
	4_printf_arg1 ≡ False
	4_printf_arg2 ≡ False
	%4 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[ ('call', False),
  ('tgt_label', %4),
  ('arg0_label', 4_printf_arg0),
  ('arg1_label', 4_printf_arg1),
  ('arg2_label', 4_printf_arg2)]

2025-09-24 13:55:06,249 DEBUG: Parsing function call on line 5...
	Constraints:
	'pc'(False) ⊑ %5
	5_printf_arg0 ≡ False
	%5 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[('call', False), ('tgt_label', %5), ('arg0_label', 5_printf_arg0)]

2025-09-24 13:55:06,250 DEBUG: Parsing return instruction on line 6...
	Annotations:
	[]

2025-09-24 13:55:06,250 INFO: Solving constraints for usage_1...
tgt_label: %1 -> public
src_label: @order -> public
tgt_label: %2 -> public
arg0_label: 2_printf_arg0 -> public
arg1_label: %1 -> public
tgt_label: %3 -> public
arg0_label: 3_printf_arg0 -> public
tgt_label: %4 -> public
arg0_label: 4_printf_arg0 -> public
arg1_label: 4_printf_arg1 -> public
arg2_label: 4_printf_arg2 -> public
tgt_label: %5 -> public
arg0_label: 5_printf_arg0 -> public
2025-09-24 13:55:06,251 INFO: Finished processing usage_1!

2025-09-24 13:55:06,251 INFO: Processing usage_2...
2025-09-24 13:55:06,251 DEBUG: Processing define dso_local void @usage_2() #0 !sec !{!"void", !"public", !{}} {
...
2025-09-24 13:55:06,251 DEBUG: {'pc': False, 'ret': False}
2025-09-24 13:55:06,251 DEBUG: Parsing function call on line 1...
	Constraints:
	'pc'(False) ⊑ %1
	1_printf_arg0 ≡ False
	%1 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[('call', False), ('tgt_label', %1), ('arg0_label', 1_printf_arg0)]

2025-09-24 13:55:06,252 DEBUG: Parsing return instruction on line 2...
	Annotations:
	[]

2025-09-24 13:55:06,253 INFO: Solving constraints for usage_2...
tgt_label: %1 -> public
arg0_label: 1_printf_arg0 -> public
2025-09-24 13:55:06,253 INFO: Finished processing usage_2!

2025-09-24 13:55:06,253 INFO: Processing usage_3...
2025-09-24 13:55:06,253 DEBUG: Processing define dso_local void @usage_3() #0 !sec !{!"void", !"public", !{}} {
...
2025-09-24 13:55:06,253 DEBUG: {'pc': False, 'ret': False}
2025-09-24 13:55:06,253 DEBUG: Parsing function call on line 1...
	Constraints:
	'pc'(False) ⊑ %1
	1_printf_arg0 ≡ False
	%1 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[('call', False), ('tgt_label', %1), ('arg0_label', 1_printf_arg0)]

2025-09-24 13:55:06,254 DEBUG: Parsing function call on line 2...
	Constraints:
	'pc'(False) ⊑ %2
	2_printf_arg0 ≡ False
	2_printf_arg1 ≡ False
	2_printf_arg2 ≡ False
	%2 ≡ 'ret'(False)
	'pc'(False) ⊑ 'pc_min'(False)

	Annotations:
	[ ('call', False),
  ('tgt_label', %2),
  ('arg0_label', 2_printf_arg0),
  ('arg1_label', 2_printf_arg1),
  ('arg2_label', 2_printf_arg2)]

2025-09-24 13:55:06,256 DEBUG: Parsing return instruction on line 3...
	Annotations:
	[]

2025-09-24 13:55:06,256 INFO: Solving constraints for usage_3...
tgt_label: %1 -> public
arg0_label: 1_printf_arg0 -> public
tgt_label: %2 -> public
arg0_label: 2_printf_arg0 -> public
arg1_label: 2_printf_arg1 -> public
arg2_label: 2_printf_arg2 -> public
2025-09-24 13:55:06,257 INFO: Finished processing usage_3!

2025-09-24 13:55:06,257 INFO: Annotations complete! File written to bfuncs-annotated.ll
